Station,Longitude ,Latitude 
Bridgeport Sikorsky Mem Airport,-73.127,41.164
Bulls Bridge Dam,-73.483,41.65
Burlington,-72.97,41.77
Cockaponset Rs,-72.5197,41.4614
Coventry,-72.31,41.77
Danbury,-73.48444,41.37167
Falls Village,-73.3693,41.9572
Groton,-72.04944,41.33
Hartford Brainard Fd,-72.6494,41.7367
Hartford Bradley International Airport,-72.684,41.939
Mansfield Hollow Lake,-72.21,41.75609
Middletown 4 W,-72.66,41.55
Mount Carmel,-72.9028,41.4078
New Haven,-72.889,41.259
Norfolk 2 Sw,-73.2333,41.9833
Norwich Pub Util Plt,-72.09,41.53
Shepaug Dam,-73.3,41.7167
Stamford 5 N,-73.55,41.1
Storrs,-72.2245,41.8078
West Thompson Lake,-71.9031,41.9442
Wigwam Reservoir,-73.1276,41.6638
